,Users,Users,Changesets,Changesets,Edits,Edits,Users with > 1 day,Users with > 1 day,Changesets from users with > 1 day,Changesets from users with > 1 day,Editsfrom users with > 1 day,Editsfrom users with > 1 day,Users with >= 42 Days,Users with >= 42 Days,Changesets from users with >= 42 days,Changesets from users with >= 42 days,Edits from users with >= 42 days,Edits from users with >= 42 days
is_local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")"
country,,,,,,,,,,,,,,,,,,
Czech Republic,1922.0,1578.0,29213.0,80982.0,3264162.0,7236002.0,1656.0,779.0,28681.0,78154.0,3250749.0,7168701.0,2699.0,801.0,32097.0,78098.0,1068414.0,9431750.0
Côte d'Ivoire,533.0,416.0,3923.0,15595.0,602825.0,1943055.0,469.0,139.0,3784.0,14195.0,583077.0,1851320.0,703.0,246.0,11622.0,7896.0,1625788.0,920092.0
Denmark,851.0,1068.0,10933.0,68557.0,626229.0,8009365.0,777.0,515.0,10806.0,67182.0,624550.0,7994812.0,1435.0,484.0,17117.0,62373.0,890591.0,7745003.0
Djibouti,269.0,12.0,5038.0,151.0,896258.0,30612.0,252.0,6.0,4855.0,125.0,888976.0,29324.0,105.0,176.0,937.0,4252.0,120133.0,806737.0
Dominica,31.0,12.0,67.0,22.0,3840.0,1147.0,29.0,2.0,65.0,6.0,3834.0,1046.0,17.0,26.0,28.0,61.0,1169.0,3818.0
Dominican Republic,174.0,175.0,2613.0,2852.0,211891.0,119106.0,163.0,48.0,2590.0,2553.0,211384.0,110311.0,234.0,115.0,1268.0,4197.0,55884.0,275113.0
Ecuador,469.0,1417.0,19065.0,16643.0,2529771.0,946000.0,426.0,445.0,18960.0,14442.0,2526972.0,904800.0,1592.0,294.0,10798.0,24910.0,471665.0,3004106.0
Egypt,669.0,498.0,35857.0,35048.0,3521912.0,6060827.0,606.0,159.0,35732.0,33206.0,3517596.0,5833359.0,750.0,417.0,7638.0,63267.0,811178.0,8771561.0
El Salvador,255.0,172.0,3909.0,2291.0,299936.0,221317.0,224.0,45.0,3867.0,1833.0,298598.0,216588.0,272.0,155.0,1478.0,4722.0,34508.0,486745.0
Equatorial Guinea,81.0,10.0,278.0,28.0,70901.0,855.0,79.0,6.0,276.0,23.0,70890.0,809.0,24.0,67.0,88.0,218.0,29172.0,42584.0
Eritrea,378.0,70.0,2720.0,716.0,573707.0,99874.0,318.0,25.0,2465.0,569.0,543617.0,84521.0,323.0,125.0,1702.0,1734.0,313539.0,360042.0
Estonia,312.0,236.0,3259.0,12434.0,139644.0,853294.0,296.0,109.0,3238.0,12096.0,139524.0,847627.0,352.0,196.0,4124.0,11569.0,135195.0,857743.0
Eswatini,178.0,9.0,3144.0,53.0,394255.0,4310.0,178.0,3.0,3144.0,16.0,394255.0,4219.0,49.0,138.0,371.0,2826.0,24610.0,373955.0
Ethiopia,599.0,496.0,7636.0,5584.0,1242168.0,1348595.0,532.0,173.0,7398.0,4644.0,1227747.0,1290273.0,817.0,278.0,5615.0,7605.0,480538.0,2110225.0
Falkland Islands,52.0,14.0,174.0,411.0,7096.0,27147.0,49.0,5.0,171.0,401.0,7083.0,26417.0,24.0,42.0,78.0,507.0,3693.0,30550.0
Faroe Islands,56.0,19.0,168.0,579.0,31837.0,501254.0,55.0,12.0,166.0,571.0,31621.0,501045.0,27.0,48.0,197.0,550.0,45602.0,487489.0
Fiji,130.0,116.0,6626.0,1499.0,378707.0,134377.0,124.0,62.0,6616.0,1302.0,378567.0,123587.0,144.0,102.0,1577.0,6548.0,138120.0,374964.0
Finland,566.0,1801.0,8408.0,96848.0,1274223.0,11253488.0,518.0,987.0,8333.0,93900.0,1270066.0,11190898.0,1952.0,415.0,35939.0,69317.0,4132521.0,8395190.0
France,4713.0,16968.0,102171.0,928205.0,5459122.0,42236324.0,3720.0,7176.0,100217.0,902926.0,5407504.0,41917030.0,19702.0,1979.0,236130.0,794246.0,5926808.0,41768638.0
French Guiana,220.0,44.0,1424.0,2115.0,97976.0,90477.0,209.0,16.0,1399.0,2068.0,96878.0,89674.0,118.0,146.0,667.0,2872.0,32403.0,156050.0
French Polynesia,76.0,80.0,410.0,490.0,25706.0,9094.0,73.0,23.0,405.0,402.0,25493.0,8474.0,98.0,58.0,581.0,319.0,10132.0,24668.0
French Southern Territories,34.0,3.0,92.0,473.0,3559.0,74371.0,32.0,2.0,89.0,472.0,3525.0,74357.0,16.0,21.0,39.0,526.0,2100.0,75830.0
Gabon,134.0,28.0,852.0,387.0,121924.0,32044.0,129.0,12.0,839.0,361.0,121223.0,31017.0,59.0,103.0,408.0,831.0,25811.0,128157.0
Gambia,211.0,73.0,2104.0,2994.0,1110364.0,929766.0,194.0,45.0,2052.0,2743.0,1106342.0,916997.0,186.0,98.0,3946.0,1152.0,1071727.0,968403.0
Georgia,546.0,391.0,6669.0,8589.0,996928.0,1511821.0,465.0,120.0,6394.0,7511.0,975386.0,1498651.0,664.0,273.0,4671.0,10587.0,1248410.0,1260339.0
Germany,5204.0,30435.0,195240.0,1435398.0,6309215.0,55496942.0,3971.0,15477.0,192704.0,1393976.0,6267556.0,55067460.0,32961.0,2678.0,487388.0,1143250.0,8936477.0,52869680.0
Ghana,878.0,434.0,9568.0,19558.0,1616456.0,1787002.0,777.0,177.0,9316.0,18707.0,1597017.0,1747231.0,982.0,330.0,10977.0,18149.0,751285.0,2652173.0
Gibraltar,57.0,7.0,230.0,8.0,10990.0,34.0,52.0,,220.0,,10803.0,,25.0,39.0,69.0,169.0,758.0,10266.0
Glorioso Islands,4.0,,5.0,,433.0,,4.0,,5.0,,433.0,,,4.0,,5.0,,433.0
Greece,899.0,1191.0,16463.0,113264.0,1184858.0,9385096.0,823.0,436.0,16350.0,111566.0,1179338.0,9362741.0,1613.0,477.0,17599.0,112128.0,1265152.0,9304802.0
Greenland,116.0,28.0,744.0,327.0,237907.0,11899.0,111.0,14.0,739.0,294.0,237826.0,11684.0,55.0,89.0,413.0,658.0,25884.0,223922.0
Grenada,82.0,32.0,229.0,154.0,20625.0,12265.0,68.0,9.0,196.0,72.0,17603.0,5740.0,84.0,30.0,315.0,68.0,26920.0,5970.0
Guadeloupe,116.0,48.0,1026.0,401.0,40245.0,43053.0,110.0,22.0,1017.0,354.0,39980.0,41938.0,75.0,89.0,504.0,923.0,8792.0,74506.0
Guam,41.0,13.0,267.0,60.0,17238.0,5145.0,41.0,6.0,267.0,50.0,17238.0,5099.0,19.0,35.0,89.0,238.0,9710.0,12673.0
Guatemala,513.0,327.0,5250.0,4050.0,415063.0,292017.0,406.0,90.0,4586.0,3354.0,391628.0,274346.0,574.0,266.0,3113.0,6187.0,129151.0,577929.0
Guernsey,40.0,13.0,233.0,135.0,3567.0,9182.0,40.0,5.0,233.0,95.0,3567.0,8909.0,27.0,26.0,302.0,66.0,10934.0,1815.0
Guinea,358.0,165.0,2780.0,6262.0,541860.0,2268595.0,342.0,96.0,2737.0,6078.0,538979.0,2255794.0,334.0,189.0,4347.0,4695.0,1554118.0,1256337.0
Guinea-Bissau,98.0,19.0,407.0,98.0,61449.0,4741.0,95.0,9.0,404.0,74.0,61440.0,3855.0,50.0,67.0,270.0,235.0,43518.0,22672.0
Guyana,705.0,847.0,6752.0,10005.0,752069.0,535251.0,606.0,256.0,6320.0,4863.0,722883.0,303248.0,1349.0,203.0,12556.0,4201.0,783827.0,503493.0
